V_diabolicus.EXE_08_2024_A.fasta	vibrio	-	gyrB(53)	pyrH(~118)	recA(19)	atpA(18)
V_diabolicus.EXE_09_2023_D7.fasta	vibrio	-	gyrB(~15)	pyrH(87)	recA(~58)	atpA(18)
V_diabolicus.EXE_10_2023_G3.fasta	vibrio	-	gyrB(~268)	pyrH(15)	recA(151)	atpA(18)
V_diabolicus.EXE_12_2025_A.fasta	vibrio	-	gyrB(30)	pyrH(25)	recA(~58)	atpA(112)
V_diabolicus.EXE_19_2024_M.fasta	vibrio	-	gyrB(53)	pyrH(~118)	recA(19)	atpA(18)
V_diabolicus.EXE_20_2024_J.fasta	vibrio	-	gyrB(29)	pyrH(19)	recA(19)	atpA(23)
V_diabolicus.EXE_22_2025_T1A.fasta	vibrio	31	gyrB(29)	pyrH(25)	recA(19)	atpA(23)
V_diabolicus.EXE_23_2024_K.fasta	vibrio	-	gyrB(164)	pyrH(115)	recA(~186)	atpA(110)
V_diabolicus.EXE_27_2025_D.fasta	vibrio	-	gyrB(159)	pyrH(~19)	recA(19)	atpA(~18)
V_diabolicus.EXE_29_2025_V.fasta	vibrio	-	gyrB(71)	pyrH(~115)	recA(~239)	atpA(18)
V_diabolicus.EXE_33_2024_C.fasta	vibrio	32	gyrB(30)	pyrH(25)	recA(27)	atpA(23)
V_diabolicus.EXE_34_2024_C.fasta	vibrio	32	gyrB(30)	pyrH(25)	recA(27)	atpA(23)
V_jasicida.EXE_03_2025_A.fasta	vibrio	-	gyrB(28)	pyrH(24)	recA(~29)	atpA(24)
V_jasicida.EXE_13_2025_A.fasta	vibrio	-	gyrB(28)	pyrH(44)	recA(29)	atpA(24)
V_jasicida.EXE_13_2025_P.fasta	vibrio	-	gyrB(28)	pyrH(44)	recA(29)	atpA(24)
V_jasicida.EXE_22_2024_B.fasta	vibrio	34	gyrB(28)	pyrH(24)	recA(29)	atpA(24)
V_jasicida.EXE_22_2025_IVF5LA.fasta	vibrio	-	gyrB(~31)	pyrH(24)	recA(29)	atpA(22,24)
V_jasicida.EXE_26_2025_A.fasta	vibrio	-	gyrB(28)	pyrH(44)	recA(~182)	atpA(24)
V_jasicida.EXE_27_2025_A.fasta	vibrio	-	gyrB(~31)	pyrH(24)	recA(29)	atpA(24)
V_jasicida.EXE_29_2025_K.fasta	vibrio	-	gyrB(28)	pyrH(24)	recA(~29)	atpA(24)
V_jasicida.EXE_30_2024_G.fasta	vibrio	-	gyrB(28)	pyrH(44)	recA(29)	atpA(24)
V_neptunius.EXE_26_2025_C.fasta	-	-
V_pacinii.EXE_28_2025_W.fasta	vibrio	-	gyrB(39)	pyrH(~32)	recA(~38)	atpA(~31)
V_parahaemolyticus.EXE_15_2024_J.fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_19_2024_C.fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_23_2024_1.fasta	vparahaemolyticus	-	dnaE(158)	gyrB(28)	recA(17)	dtdS(458)	pntA(20)	pyrC(390)	tnaA(23)
V_parahaemolyticus.EXE_25_2024_H.fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_26_2024_C.fasta	vparahaemolyticus	2851	dnaE(112)	gyrB(104)	recA(307)	dtdS(552)	pntA(23)	pyrC(339)	tnaA(54)
V_parahaemolyticus.EXE_29_2025_HH.fasta	vparahaemolyticus	-	dnaE(158)	gyrB(28)	recA(17)	dtdS(458)	pntA(20)	pyrC(390)	tnaA(23)
V_parahaemolyticus.EXE_30_2025_R.fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_30_2025_S.fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_32_2024_G..fasta	vparahaemolyticus	1366	dnaE(26)	gyrB(16)	recA(324)	dtdS(386)	pntA(33)	pyrC(137)	tnaA(2)
V_parahaemolyticus.EXE_33_2024_E.fasta	vparahaemolyticus	314	dnaE(142)	gyrB(29)	recA(10)	dtdS(7)	pntA(33)	pyrC(24)	tnaA(20)
V_parahaemolyticus.EXE_33_2024_F.fasta	vparahaemolyticus	314	dnaE(142)	gyrB(29)	recA(10)	dtdS(7)	pntA(33)	pyrC(24)	tnaA(20)
V_parahaemolyticus.EXE_34_2024_P.fasta	vparahaemolyticus	-	dnaE(142)	gyrB(29)	recA(10)	dtdS(7)	pntA(-)	pyrC(24)	tnaA(20)
V_sp.EXE_23_2025_L.fasta	-	-
