GCA_001261555.1	6201
GCA_001281585.1	31
GCA_001281595.1	39
GCA_001281615.1	43
GCA_001281665.1	56
GCA_001282605.1	EC-051
GCA_001292745.1
GCA_001292785.1
GCA_001318185.1	KW3
GCA_001402185.1	YB1A01
GCA_001402255.1	YB4G06
GCA_001402265.1	YB4F05
GCA_001402275.1	YB3G04
GCA_001402285.1	YB4C07
GCA_001402335.1	YB7A06
GCA_001402365.1	YB1G06
GCA_001402375.1	YB2A06
GCA_001402415.1	YB2G05
GCA_001402425.1	YB2G07
GCA_001402435.1	YB5A06
GCA_001402445.1	YB6A06
GCA_001402535.1	YB2A05
GCA_001402545.1	YB3B05
GCA_001402575.1	YB4G05
GCA_001402585.1	YB4H02
GCA_001402595.1	YB7A09
GCA_001402605.1	YB4B03
GCA_001402655.1	YB8E08
GCA_001411585.1	YB2G01
GCA_001471455.2	FDAARGOS_101
GCA_001471585.2	FDAARGOS_103
GCA_001515085.1	M1399
GCA_001515095.1	ME-7
GCA_001515105.1	M1395
GCA_001515115.1	M988
GCA_001515165.1	M1522
GCA_001517845.1	M1275
GCA_001517855.1	M1275D
GCA_001521835.1	M888
GCA_001525525.2	FDAARGOS_102
GCA_001543465.1	Inaba PIC018
GCA_001543505.1	Drakes2013
GCA_001597715.2	I-1181
GCA_001617665.1	CW-6
GCA_001617675.1	M888D
GCA_001637545.1	M139
GCA_001637555.1	M299
GCA_001637575.1	M1501
GCA_001639085.1	P13762
GCA_001641685.1	M1518
GCA_001641705.1	M1524
GCA_001641745.1	Jun-67
GCA_001641765.1	M1327
GCA_001661905.2	I-1187
GCA_001683415.1	2740-80
GCA_001718095.1	L15
GCA_001718105.1	L11
GCA_001729125.1	857
GCA_001729155.1	MZO-2
GCA_001729185.1	2740-80
GCA_001729195.1	VC22
GCA_001735565.1	S12
GCA_001743085.1	3223-74
GCA_001854425.1	Env-390
GCA_001857145.1	2559-78
GCA_001857155.1	VC53
GCA_001857165.1	VC48
GCA_001857175.1	VC56
GCA_001857225.1	2631-78
GCA_001857245.1	2512-86
GCA_001857265.1	3272-78
GCA_001857285.1	692-79
GCA_001857305.1	2479-86
GCA_001857325.1	1496-86
GCA_001857345.1	2523-87
GCA_001857355.1	2497-86
GCA_001857365.1	3225-74
GCA_001857405.1	1074-78
GCA_001857425.1	2633-78
GCA_001857435.1	C6706
GCA_001857485.1	TP
GCA_001857505.1	3568-07
GCA_001857515.1	HE46
GCA_001857545.1	V52
GCA_001858445.1	CMR020
GCA_001858455.1	CMR021
GCA_001858465.1	CMR022
GCA_001858475.1	CMR019
GCA_001858585.1	CMR004
GCA_001860225.1	CMR001
GCA_001860265.1	CMR007
GCA_001860285.1	CMR008
GCA_001860295.1	CMR009
GCA_001860315.1	CMR010
GCA_001860345.1	CMR011
GCA_001860365.1	CMR012
GCA_001860385.1	CMR013
GCA_001860395.1	CMR014
GCA_001860425.1	CMR015
GCA_001860445.1	CMR016
GCA_001860465.1	CMR017
GCA_001860485.1	CMR018
GCA_001887395.1	C5
GCA_001887415.1	E1320
GCA_001887435.1	CRC711
GCA_001887455.1	CRC1106
GCA_001887475.1	E506
GCA_001887495.1	E1162
GCA_001887515.1	NCTC5395
GCA_001887615.1	NCTC9420
GCA_001887635.1	M2140
GCA_001887655.1	E9120
GCA_001899465.1	76
GCA_002073335.2	FDAARGOS_223
GCA_002076155.1	O1S
GCA_002076165.1	O7S
GCA_002076175.1	O6MU
GCA_002076185.1	11S
GCA_002076235.1	TEM/25/01-004
GCA_002076245.1	O9S
GCA_002076255.1	O2
GCA_002076265.1	TEM/10/01-002
GCA_002076315.1	48055
GCA_002076415.1	7714
GCA_002076425.1	1Mo
GCA_002076455.1	OO4
GCA_002076465.1	O3MU
GCA_002076475.1	39Ki
GCA_002076485.1	47623
GCA_002076535.1	31Ki
GCA_002076545.1	O7MU
GCA_002076575.1	O3S
GCA_002076585.1	O5MU
GCA_002076615.1	7Mo
GCA_002076635.1	9Mo
GCA_002076645.1	47610
GCA_002076665.1	5Mo
GCA_002076695.1	8Mo
GCA_002076705.1	2Mo
GCA_002076735.1	TEM/12/12-001
GCA_002076745.1	TEM/04/01-001
GCA_002076775.1	21B
GCA_002076785.1	20478
GCA_002078055.1	36KI
GCA_002078595.1	43Ki
GCA_002078635.1	39361
GCA_002078695.1	TEM/15/01-005
GCA_002078705.1	21027
GCA_002078715.1	19886
GCA_002078755.1	TEM/29/01-003
GCA_002078795.1	J8YRS KAGUNGA
GCA_002078815.1	20390
GCA_002078825.1	17609
GCA_002097735.1	CISM_300055
GCA_002097745.1	CISM_300205
GCA_002097765.1	CISM_S/Nida
GCA_002097825.1	CISM_780298.0
GCA_002097835.1	CISM_770180.8
GCA_002097845.1	CISM_770067.4
GCA_002097895.1	CISM_710180.8
GCA_002097905.1	CISM_740115.4
GCA_002097915.1	CISM_769845.7
