GCA_921292975.1	Vibrio hippocampi	CECT 8226
GCA_002906655.1	Vibrio hyugaensis	090810a
GCA_001895205.1	Vibrio injensis	M12-1144
GCA_025195085.2	Vibrio intestinalis	YLB-11
GCA_024346935.1	Vibrio inusitatus	LMG 23434
GCA_042245395.1	Vibrio iocasae	HN007
GCA_024347675.1	Vibrio ishigakensis	JCM 19231
GCA_024582835.1	Vibrio japonicus	JCM 31412
GCA_000400365.1	Vibrio jasicida	CAIM 1864
GCA_050337535.1	Vibrio kagoshimensis	JAMM0761
GCA_024347535.1	Vibrio kanaloae	LMG 20539
GCA_050337565.1	Vibrio kasasachensis	JAMM1812
GCA_050337325.1	Vibrio kyushuensis	JAMM1822
GCA_050337265.1	Vibrio lamellibrachiae	JAMM2626
GCA_014878155.1	Vibrio lentus	40M4T
GCA_000426765.1	Vibrio litoralis	DSM 17657
GCA_003415655.1	Vibrio maerlii	G62
GCA_024346955.1	Vibrio mangrovi	CECT 7927
GCA_014050145.1	Vibrio marinisediminis	404
GCA_921294215.1	Vibrio marisflavi	CECT 7928
GCA_900088415.1	Vibrio mediterranei	
GCA_023634655.1	Vibrio methylphosphonaticus	S4B1
GCA_900460295.1	Vibrio metschnikovii	NCTC8443
GCA_900460385.1	Vibrio mimicus	NCTC11435
GCA_029635775.1	Vibrio misgurnus	GVC
GCA_965136275.1	Vibrio mytili	type strain: CIP103929
GCA_001680045.1	Vibrio natriegens	CCUG 16371
GCA_000764325.1	Vibrio navarrensis	ATCC 51183
GCA_024346975.1	Vibrio neonatus	JCM 21521
GCA_001274805.1	Vibrio nereis	DSM 19584
GCA_015686695.1	Vibrio nitrifigilis	NFV-1
GCA_050337205.1	Vibrio nomapromontoriensis	JAMM1728
GCA_042428525.1	Vibrio olivae	CECT 8064
GCA_000176235.1	Vibrio orientalis	CIP 102891
GCA_019226825.1	Vibrio ostreae	OG9-811
GCA_030409575.1	Vibrio ostreicida	CECT 7398
GCA_004551525.1	Vibrio ouci	BEI176
GCA_000817815.1	Vibrio owensii	DY05
GCA_000711795.1	Vibrio pacinii	DSM 19139
GCA_024346995.1	Vibrio palustris	CECT 9027
GCA_009938205.1	Vibrio panuliri	JCM 19500
GCA_017169525.1	Vibrio paracholerae	EDC-792
GCA_001558495.2	Vibrio parahaemolyticus	ATCC 17802
GCA_024347015.1	Vibrio pectenicida	LMG 19642
GCA_024347575.1	Vibrio pelagius	ATCC 25916
GCA_019977755.1	Vibrio penaeicida	IFO 15640
GCA_033542615.1	Vibrio plantisponsor	MSSRF60
GCA_024347595.1	Vibrio pomeroyi	LMG 20537
GCA_009938225.1	Vibrio ponticus	DSM 16217
GCA_033566895.1	Vibrio porteresiae	MSSRF30
GCA_005281835.1	Vibrio profundi	TP187
GCA_053890595.1	Vibrio proteolyticus	ATCC 15338
GCA_002257545.1	Vibrio qinghaiensis	Q67
GCA_024347075.1	Vibrio rarus	LMG 23674
GCA_000827885.1	Vibrio renipiscarius	DCR 1-4-2
GCA_024347095.1	Vibrio rhizosphaerae	LMG 23790
GCA_003350325.1	Vibrio rhodolitus	G98
GCA_002741985.1	Vibrio rotiferianus	CAIM 577
GCA_900163965.1	Vibrio ruber	CECT 7878
GCA_002218045.2	Vibrio rumoiensis	FERM P-14531
GCA_055391395.1	Vibrio sabulosilitoris	MAO6
GCA_007990935.1	Vibrio sagamiensis	NBRC 104589
GCA_002811245.1	Vibrio salilacus	DSG-S6
GCA_050337435.1	Vibrio satsumensis	JAMM0822
GCA_000222585.2	Vibrio scophthalmi	LMG 19158
GCA_042430465.1	Vibrio sinaloensis	CECT 7298
GCA_003605645.1	Vibrio sinensis	BEI233
GCA_050870795.1	Vibrio sinus	S4M6
GCA_024347135.1	Vibrio spartinae	CECT 9026
GCA_024347615.1	Vibrio splendidus	LMG 19031
GCA_003569005.1	Vibrio superstes	G3-29
GCA_002119525.1	Vibrio syngnathi	K08M4
GCA_030409945.1	Vibrio tapetis subsp. quintayensis	CECT 8851
GCA_900233005.1	Vibrio tapetis subsp. tapetis	
GCA_002216685.1	Vibrio tarriae	2521-89
GCA_024347635.1	Vibrio tasmaniensis	LMG 20012
GCA_003350295.1	Vibrio tetraodonis	A511
GCA_009857245.1	Vibrio tetraodonis subsp. pristinus	OCN044
GCA_042653465.1	Vibrio thalassae	KCTC 32373
GCA_024347655.1	Vibrio toranzoniae	CECT 7225
GCA_001547935.1	Vibrio tritonius	JCM 16456
GCA_000772105.1	Vibrio tubiashii	ATCC 19109
GCA_016900875.1	Vibrio ulleungensis	188UL20-2
GCA_003856525.1	Vibrio viridaestus	LJC006
GCA_009665475.1	Vibrio vulnificus	2142-77
GCA_050337275.1	Vibrio wakamikoensis	JAMM2464
GCA_900100015.1	Vibrio xiamenensis	CGMCC 1.10228
GCA_030161235.1	Vibrio zhanjiangensis	NBRC 108723
GCA_011064285.1	Vibrio ziniensis	ZWAL4003

